school_id,category,risk_score,days_to_failure,priority_score,priority_level,actual_failure
SCHOOL_240,structural,0.59,42,2.95,High,0
SCHOOL_125,structural,0.591,42,2.95,High,1
SCHOOL_130,structural,0.585,42,2.92,High,1
SCHOOL_080,structural,0.579,42,2.89,High,0
SCHOOL_331,girls_toilet,0.578,42,2.89,High,0
SCHOOL_234,classroom,0.722,38,2.89,High,0
SCHOOL_090,structural,0.571,42,2.86,High,0
SCHOOL_136,girls_toilet,0.572,42,2.86,High,0
SCHOOL_194,classroom,0.712,38,2.85,High,1
SCHOOL_041,girls_toilet,0.57,42,2.85,High,0
SCHOOL_301,girls_toilet,0.567,42,2.84,High,1
SCHOOL_319,classroom,0.706,38,2.83,High,0
SCHOOL_384,classroom,0.704,38,2.82,High,0
SCHOOL_166,girls_toilet,0.564,43,2.82,High,0
SCHOOL_335,structural,0.565,43,2.82,High,0
SCHOOL_444,classroom,0.702,38,2.81,High,0
SCHOOL_466,girls_toilet,0.563,43,2.81,High,0
SCHOOL_465,structural,0.56,43,2.8,High,0
SCHOOL_383,electrical,0.62,41,2.79,High,1
SCHOOL_198,electrical,0.606,41,2.73,High,1
SCHOOL_068,electrical,0.607,41,2.73,High,1
SCHOOL_204,classroom,0.68,39,2.72,High,0
SCHOOL_430,structural,0.541,43,2.71,High,0
SCHOOL_076,girls_toilet,0.539,43,2.69,High,1
SCHOOL_043,electrical,0.598,42,2.69,High,0
SCHOOL_441,girls_toilet,0.537,43,2.69,High,0
SCHOOL_411,girls_toilet,0.536,43,2.68,High,1
SCHOOL_158,electrical,0.595,42,2.68,High,1
SCHOOL_250,structural,0.537,43,2.68,High,1
SCHOOL_066,girls_toilet,0.535,43,2.67,High,0
SCHOOL_095,structural,0.531,44,2.66,High,1
SCHOOL_475,structural,0.528,44,2.64,High,1
SCHOOL_415,structural,0.528,44,2.64,High,0
SCHOOL_486,girls_toilet,0.527,44,2.63,High,0
SCHOOL_040,structural,0.525,44,2.62,High,0
SCHOOL_271,girls_toilet,0.521,44,2.6,High,1
SCHOOL_044,classroom,0.647,40,2.59,High,0
SCHOOL_128,electrical,0.573,42,2.58,High,0
SCHOOL_061,girls_toilet,0.514,44,2.57,High,1
SCHOOL_016,girls_toilet,0.514,44,2.57,High,0
SCHOOL_218,electrical,0.569,42,2.56,High,1
SCHOOL_168,electrical,0.568,42,2.56,High,1
SCHOOL_053,electrical,0.568,42,2.56,High,1
SCHOOL_285,structural,0.509,44,2.54,High,0
SCHOOL_433,electrical,0.565,43,2.54,High,0
SCHOOL_085,structural,0.507,44,2.53,High,1
SCHOOL_180,structural,0.504,44,2.52,High,1
SCHOOL_491,girls_toilet,0.502,44,2.51,High,0
SCHOOL_460,structural,0.502,44,2.51,High,1
SCHOOL_248,electrical,0.555,43,2.5,Medium,0
SCHOOL_401,girls_toilet,0.499,45,2.49,Medium,1
SCHOOL_155,structural,0.498,45,2.49,Medium,1
SCHOOL_221,girls_toilet,0.495,45,2.48,Medium,0
SCHOOL_432,plumbing,0.709,38,2.48,Medium,1
SCHOOL_056,girls_toilet,0.494,45,2.47,Medium,0
SCHOOL_151,girls_toilet,0.494,45,2.47,Medium,0
SCHOOL_228,electrical,0.547,43,2.46,Medium,0
SCHOOL_350,structural,0.492,45,2.46,Medium,0
SCHOOL_051,girls_toilet,0.492,45,2.46,Medium,0
SCHOOL_416,girls_toilet,0.487,45,2.44,Medium,0
SCHOOL_263,electrical,0.542,43,2.44,Medium,1
SCHOOL_255,structural,0.489,45,2.44,Medium,1
SCHOOL_065,structural,0.485,45,2.43,Medium,0
SCHOOL_340,structural,0.485,45,2.43,Medium,0
SCHOOL_146,girls_toilet,0.485,45,2.42,Medium,0
SCHOOL_181,girls_toilet,0.485,45,2.42,Medium,0
SCHOOL_391,girls_toilet,0.483,45,2.42,Medium,1
SCHOOL_453,electrical,0.535,43,2.41,Medium,0
SCHOOL_006,girls_toilet,0.482,45,2.41,Medium,1
SCHOOL_138,electrical,0.536,43,2.41,Medium,1
SCHOOL_376,girls_toilet,0.48,45,2.4,Medium,1
SCHOOL_037,plumbing,0.683,39,2.39,Medium,0
SCHOOL_306,girls_toilet,0.479,45,2.39,Medium,0
SCHOOL_496,girls_toilet,0.475,45,2.38,Medium,1
SCHOOL_300,structural,0.476,45,2.38,Medium,1
SCHOOL_328,electrical,0.529,44,2.38,Medium,1
SCHOOL_356,girls_toilet,0.474,45,2.37,Medium,1
SCHOOL_183,electrical,0.524,44,2.36,Medium,1
SCHOOL_191,girls_toilet,0.471,45,2.36,Medium,0
SCHOOL_186,girls_toilet,0.471,45,2.36,Medium,1
SCHOOL_035,structural,0.47,45,2.35,Medium,0
SCHOOL_438,electrical,0.522,44,2.35,Medium,0
SCHOOL_428,electrical,0.52,44,2.34,Medium,1
SCHOOL_440,structural,0.468,45,2.34,Medium,0
SCHOOL_380,structural,0.468,45,2.34,Medium,1
SCHOOL_196,girls_toilet,0.465,46,2.33,Medium,0
SCHOOL_493,electrical,0.517,44,2.33,Medium,0
SCHOOL_276,girls_toilet,0.467,46,2.33,Medium,0
SCHOOL_045,structural,0.465,46,2.33,Medium,0
SCHOOL_456,girls_toilet,0.464,46,2.32,Medium,1
SCHOOL_182,plumbing,0.662,40,2.32,Medium,1
SCHOOL_426,girls_toilet,0.464,46,2.32,Medium,0
SCHOOL_330,structural,0.464,46,2.32,Medium,0
SCHOOL_490,structural,0.462,46,2.31,Medium,0
SCHOOL_436,girls_toilet,0.462,46,2.31,Medium,0
SCHOOL_091,girls_toilet,0.461,46,2.31,Medium,1
SCHOOL_488,electrical,0.51,44,2.3,Medium,1
SCHOOL_461,girls_toilet,0.459,46,2.3,Medium,1
SCHOOL_374,classroom,0.576,42,2.3,Medium,0
SCHOOL_494,classroom,0.572,42,2.29,Medium,0
SCHOOL_124,classroom,0.571,42,2.28,Medium,0
SCHOOL_434,classroom,0.571,42,2.28,Medium,0
SCHOOL_368,electrical,0.505,44,2.27,Medium,0
SCHOOL_116,girls_toilet,0.455,46,2.27,Medium,1
SCHOOL_399,classroom,0.565,43,2.26,Medium,1
SCHOOL_149,classroom,0.565,43,2.26,Medium,0
SCHOOL_313,electrical,0.502,44,2.26,Medium,1
SCHOOL_375,structural,0.45,46,2.25,Medium,1
SCHOOL_351,girls_toilet,0.449,46,2.25,Medium,1
SCHOOL_369,classroom,0.559,43,2.24,Medium,1
SCHOOL_288,electrical,0.498,45,2.24,Medium,0
SCHOOL_284,classroom,0.559,43,2.24,Medium,0
SCHOOL_229,classroom,0.557,43,2.23,Medium,0
SCHOOL_164,classroom,0.557,43,2.23,Medium,0
SCHOOL_220,structural,0.447,46,2.23,Medium,0
SCHOOL_243,electrical,0.496,45,2.23,Medium,0
SCHOOL_251,girls_toilet,0.445,46,2.23,Medium,0
SCHOOL_455,structural,0.446,46,2.23,Medium,1
SCHOOL_480,structural,0.443,46,2.22,Medium,1
SCHOOL_205,structural,0.444,46,2.22,Medium,0
SCHOOL_360,structural,0.444,46,2.22,Medium,1
SCHOOL_414,classroom,0.553,43,2.21,Medium,1
SCHOOL_370,structural,0.441,46,2.21,Medium,1
SCHOOL_054,classroom,0.55,43,2.2,Medium,1
SCHOOL_329,classroom,0.55,43,2.2,Medium,0
SCHOOL_163,electrical,0.488,45,2.19,Medium,0
SCHOOL_176,girls_toilet,0.437,46,2.19,Medium,1
SCHOOL_230,structural,0.437,46,2.19,Medium,0
SCHOOL_236,girls_toilet,0.435,46,2.17,Medium,1
SCHOOL_274,classroom,0.543,43,2.17,Medium,0
SCHOOL_081,girls_toilet,0.434,46,2.17,Medium,0
SCHOOL_108,electrical,0.479,45,2.16,Medium,0
SCHOOL_244,classroom,0.54,43,2.16,Medium,0
SCHOOL_321,girls_toilet,0.432,47,2.16,Medium,0
SCHOOL_361,girls_toilet,0.432,47,2.16,Medium,0
SCHOOL_190,structural,0.431,47,2.15,Medium,1
SCHOOL_492,plumbing,0.614,41,2.15,Medium,1
SCHOOL_283,electrical,0.479,45,2.15,Medium,0
SCHOOL_390,structural,0.43,47,2.15,Medium,1
SCHOOL_310,structural,0.429,47,2.15,Medium,1
SCHOOL_103,electrical,0.477,45,2.15,Medium,1
SCHOOL_013,electrical,0.476,45,2.14,Medium,1
SCHOOL_206,girls_toilet,0.427,47,2.14,Medium,0
SCHOOL_464,classroom,0.534,43,2.14,Medium,0
SCHOOL_192,plumbing,0.612,41,2.14,Medium,0
SCHOOL_067,plumbing,0.609,41,2.13,Medium,1
SCHOOL_258,electrical,0.473,45,2.13,Medium,0
SCHOOL_245,structural,0.425,47,2.12,Medium,1
SCHOOL_179,classroom,0.531,44,2.12,Medium,1
SCHOOL_476,girls_toilet,0.424,47,2.12,Medium,1
SCHOOL_050,structural,0.423,47,2.12,Medium,1
SCHOOL_042,plumbing,0.605,41,2.12,Medium,0
SCHOOL_145,structural,0.421,47,2.11,Medium,0
SCHOOL_171,girls_toilet,0.422,47,2.11,Medium,0
SCHOOL_325,structural,0.423,47,2.11,Medium,1
SCHOOL_135,structural,0.422,47,2.11,Medium,0
SCHOOL_349,classroom,0.527,44,2.11,Medium,0
SCHOOL_197,plumbing,0.6,42,2.1,Medium,0
SCHOOL_474,classroom,0.524,44,2.1,Medium,0
SCHOOL_400,structural,0.42,47,2.1,Medium,0
SCHOOL_001,girls_toilet,0.42,47,2.1,Medium,1
SCHOOL_115,structural,0.42,47,2.1,Medium,1
SCHOOL_169,classroom,0.525,44,2.1,Medium,0
SCHOOL_112,plumbing,0.598,42,2.09,Medium,1
SCHOOL_305,structural,0.419,47,2.09,Medium,1
SCHOOL_225,structural,0.418,47,2.09,Medium,1
SCHOOL_451,girls_toilet,0.417,47,2.09,Medium,0
SCHOOL_026,girls_toilet,0.419,47,2.09,Medium,0
SCHOOL_060,structural,0.417,47,2.08,Medium,0
SCHOOL_478,electrical,0.463,46,2.08,Medium,0
SCHOOL_055,structural,0.417,47,2.08,Medium,0
SCHOOL_344,classroom,0.519,44,2.08,Medium,1
SCHOOL_118,electrical,0.462,46,2.08,Medium,0
SCHOOL_175,structural,0.413,47,2.07,Medium,1
SCHOOL_398,electrical,0.461,46,2.07,Medium,1
SCHOOL_052,plumbing,0.59,42,2.06,Medium,0
SCHOOL_311,girls_toilet,0.412,47,2.06,Medium,0
SCHOOL_093,electrical,0.454,46,2.05,Medium,1
SCHOOL_291,girls_toilet,0.41,47,2.05,Medium,1
SCHOOL_131,girls_toilet,0.409,47,2.05,Medium,0
SCHOOL_260,structural,0.411,47,2.05,Medium,1
SCHOOL_348,electrical,0.455,46,2.05,Medium,0
SCHOOL_148,electrical,0.454,46,2.04,Medium,0
SCHOOL_257,plumbing,0.583,42,2.04,Medium,1
SCHOOL_302,plumbing,0.583,42,2.04,Medium,0
SCHOOL_153,electrical,0.454,46,2.04,Medium,0
SCHOOL_224,classroom,0.51,44,2.04,Medium,0
SCHOOL_059,classroom,0.509,44,2.04,Medium,0
SCHOOL_298,electrical,0.453,46,2.04,Medium,0
SCHOOL_173,electrical,0.452,46,2.03,Medium,1
SCHOOL_295,structural,0.407,47,2.03,Medium,1
SCHOOL_030,structural,0.405,47,2.02,Medium,0
SCHOOL_423,electrical,0.449,46,2.02,Medium,1
SCHOOL_049,classroom,0.505,44,2.02,Medium,1
SCHOOL_405,structural,0.405,47,2.02,Medium,0
SCHOOL_239,classroom,0.506,44,2.02,Medium,1
SCHOOL_011,girls_toilet,0.405,47,2.02,Medium,0
SCHOOL_078,electrical,0.449,46,2.02,Medium,0
SCHOOL_082,plumbing,0.574,42,2.01,Medium,0
SCHOOL_109,classroom,0.502,44,2.01,Medium,0
SCHOOL_086,girls_toilet,0.403,47,2.01,Medium,0
SCHOOL_286,girls_toilet,0.402,47,2.01,Medium,0
SCHOOL_008,electrical,0.446,46,2.01,Medium,0
SCHOOL_412,plumbing,0.57,42,2.0,Medium,0
SCHOOL_445,structural,0.401,47,2.0,Medium,0
SCHOOL_467,plumbing,0.57,42,2.0,Medium,1
SCHOOL_159,classroom,0.497,45,1.99,Medium,0
SCHOOL_406,girls_toilet,0.398,48,1.99,Medium,0
SCHOOL_127,plumbing,0.57,42,1.99,Medium,1
SCHOOL_063,electrical,0.442,46,1.99,Medium,1
SCHOOL_018,electrical,0.443,46,1.99,Medium,1
SCHOOL_157,plumbing,0.567,42,1.98,Medium,0
SCHOOL_141,girls_toilet,0.397,48,1.98,Medium,0
SCHOOL_038,electrical,0.44,46,1.98,Medium,0
SCHOOL_071,girls_toilet,0.395,48,1.97,Medium,1
SCHOOL_048,electrical,0.437,46,1.97,Medium,1
SCHOOL_129,classroom,0.491,45,1.97,Medium,0
SCHOOL_058,electrical,0.438,46,1.97,Medium,1
SCHOOL_275,structural,0.394,48,1.97,Medium,1
SCHOOL_326,girls_toilet,0.392,48,1.96,Medium,1
SCHOOL_009,classroom,0.486,45,1.95,Medium,1
SCHOOL_007,plumbing,0.556,43,1.95,Medium,0
SCHOOL_106,girls_toilet,0.387,48,1.94,Medium,0
SCHOOL_309,classroom,0.484,45,1.94,Medium,1
SCHOOL_039,classroom,0.486,45,1.94,Medium,0
SCHOOL_113,electrical,0.428,47,1.93,Medium,1
SCHOOL_454,classroom,0.482,45,1.93,Medium,0
SCHOOL_378,electrical,0.43,47,1.93,Medium,1
SCHOOL_471,girls_toilet,0.386,48,1.93,Medium,0
SCHOOL_449,classroom,0.482,45,1.93,Medium,1
SCHOOL_126,girls_toilet,0.387,48,1.93,Medium,0
SCHOOL_462,plumbing,0.551,43,1.93,Medium,0
SCHOOL_003,electrical,0.426,47,1.92,Medium,1
SCHOOL_287,plumbing,0.548,43,1.92,Medium,0
SCHOOL_389,classroom,0.48,45,1.92,Medium,1
SCHOOL_452,plumbing,0.548,43,1.92,Medium,0
SCHOOL_210,structural,0.381,48,1.91,Medium,0
SCHOOL_083,electrical,0.425,47,1.91,Medium,0
SCHOOL_064,classroom,0.477,45,1.91,Medium,0
SCHOOL_413,electrical,0.421,47,1.9,Medium,0
SCHOOL_303,electrical,0.422,47,1.9,Medium,1
SCHOOL_238,electrical,0.421,47,1.9,Medium,0
SCHOOL_272,plumbing,0.543,43,1.9,Medium,1
SCHOOL_473,electrical,0.421,47,1.89,Medium,0
SCHOOL_120,structural,0.379,48,1.89,Medium,0
SCHOOL_142,plumbing,0.541,43,1.89,Medium,1
SCHOOL_367,plumbing,0.54,43,1.89,Medium,1
SCHOOL_358,electrical,0.417,47,1.88,Medium,0
SCHOOL_481,girls_toilet,0.377,48,1.88,Medium,1
SCHOOL_144,classroom,0.47,45,1.88,Medium,0
SCHOOL_219,classroom,0.467,45,1.87,Medium,0
SCHOOL_323,electrical,0.415,47,1.87,Medium,0
SCHOOL_373,electrical,0.415,47,1.87,Medium,0
SCHOOL_088,electrical,0.413,47,1.86,Medium,1
SCHOOL_429,classroom,0.465,46,1.86,Medium,1
SCHOOL_477,plumbing,0.532,44,1.86,Medium,0
SCHOOL_498,electrical,0.414,47,1.86,Medium,1
SCHOOL_020,structural,0.37,48,1.85,Medium,1
SCHOOL_021,girls_toilet,0.369,48,1.85,Medium,0
SCHOOL_070,structural,0.37,48,1.85,Medium,0
SCHOOL_254,classroom,0.462,46,1.85,Medium,0
SCHOOL_403,electrical,0.409,47,1.84,Medium,0
SCHOOL_261,girls_toilet,0.368,48,1.84,Medium,0
SCHOOL_381,girls_toilet,0.367,48,1.84,Medium,0
SCHOOL_393,electrical,0.408,47,1.84,Medium,0
SCHOOL_172,plumbing,0.526,44,1.84,Medium,0
SCHOOL_034,classroom,0.46,46,1.84,Medium,0
SCHOOL_208,electrical,0.406,47,1.83,Medium,0
SCHOOL_184,classroom,0.458,46,1.83,Medium,1
SCHOOL_140,structural,0.364,49,1.82,Medium,1
SCHOOL_110,structural,0.364,49,1.82,Medium,0
SCHOOL_096,girls_toilet,0.363,49,1.82,Medium,1
SCHOOL_200,structural,0.361,49,1.81,Medium,1
SCHOOL_421,girls_toilet,0.362,49,1.81,Medium,1
SCHOOL_304,classroom,0.451,46,1.8,Medium,0
SCHOOL_262,plumbing,0.514,44,1.8,Medium,1
SCHOOL_150,structural,0.359,49,1.8,Medium,0
SCHOOL_489,classroom,0.45,46,1.8,Medium,0
SCHOOL_377,plumbing,0.511,44,1.79,Medium,1
SCHOOL_098,electrical,0.397,48,1.79,Medium,0
SCHOOL_338,electrical,0.397,48,1.79,Medium,1
SCHOOL_354,classroom,0.447,46,1.79,Medium,0
SCHOOL_031,girls_toilet,0.357,49,1.79,Medium,1
SCHOOL_472,plumbing,0.511,44,1.79,Medium,1
SCHOOL_362,plumbing,0.512,44,1.79,Medium,1
SCHOOL_500,structural,0.358,49,1.79,Medium,0
SCHOOL_133,electrical,0.398,48,1.79,Medium,0
SCHOOL_134,classroom,0.448,46,1.79,Medium,0
SCHOOL_203,electrical,0.398,48,1.79,Medium,0
SCHOOL_062,plumbing,0.504,44,1.77,Medium,0
SCHOOL_382,plumbing,0.505,44,1.77,Medium,0
SCHOOL_222,plumbing,0.504,44,1.77,Medium,1
SCHOOL_211,girls_toilet,0.354,49,1.77,Medium,0
SCHOOL_178,electrical,0.393,48,1.77,Medium,0
SCHOOL_407,plumbing,0.506,44,1.77,Medium,1
SCHOOL_119,classroom,0.439,46,1.76,Medium,0
SCHOOL_470,structural,0.35,49,1.75,Medium,0
SCHOOL_213,electrical,0.388,48,1.75,Medium,0
SCHOOL_217,plumbing,0.5,44,1.75,Medium,1
SCHOOL_343,electrical,0.389,48,1.75,Medium,0
SCHOOL_252,plumbing,0.497,45,1.74,Medium,1
SCHOOL_024,classroom,0.434,46,1.74,Medium,1
SCHOOL_347,plumbing,0.498,45,1.74,Medium,0
SCHOOL_278,electrical,0.386,48,1.74,Medium,0
SCHOOL_004,classroom,0.434,46,1.74,Medium,1
SCHOOL_339,classroom,0.432,47,1.73,Medium,1
SCHOOL_246,girls_toilet,0.346,49,1.73,Medium,1
SCHOOL_468,electrical,0.382,48,1.72,Medium,0
SCHOOL_463,electrical,0.382,48,1.72,Medium,0
SCHOOL_226,girls_toilet,0.344,49,1.72,Medium,0
SCHOOL_363,electrical,0.382,48,1.72,Medium,1
SCHOOL_408,electrical,0.381,48,1.72,Medium,0
SCHOOL_293,electrical,0.38,48,1.71,Medium,1
SCHOOL_223,electrical,0.379,48,1.71,Medium,0
SCHOOL_023,electrical,0.38,48,1.71,Medium,0
SCHOOL_105,structural,0.341,49,1.71,Medium,0
SCHOOL_327,plumbing,0.484,45,1.69,Medium,1
SCHOOL_132,plumbing,0.483,45,1.69,Medium,1
SCHOOL_233,electrical,0.374,48,1.68,Medium,1
SCHOOL_299,classroom,0.421,47,1.68,Medium,1
SCHOOL_253,electrical,0.373,48,1.68,Medium,0
SCHOOL_273,electrical,0.37,48,1.67,Medium,0
SCHOOL_450,structural,0.333,50,1.67,Medium,0
SCHOOL_446,girls_toilet,0.334,49,1.67,Medium,0
SCHOOL_435,structural,0.332,50,1.66,Medium,0
SCHOOL_387,plumbing,0.475,45,1.66,Medium,0
SCHOOL_097,plumbing,0.47,45,1.65,Medium,0
SCHOOL_419,classroom,0.412,47,1.65,Medium,1
SCHOOL_459,classroom,0.413,47,1.65,Medium,1
SCHOOL_077,plumbing,0.47,45,1.64,Medium,0
SCHOOL_267,plumbing,0.469,45,1.64,Medium,0
SCHOOL_033,electrical,0.365,49,1.64,Medium,1
SCHOOL_333,electrical,0.362,49,1.63,Medium,1
SCHOOL_264,classroom,0.408,47,1.63,Medium,0
SCHOOL_242,plumbing,0.465,46,1.63,Medium,0
SCHOOL_017,plumbing,0.467,45,1.63,Medium,0
SCHOOL_336,girls_toilet,0.324,50,1.62,Medium,0
SCHOOL_123,electrical,0.359,49,1.62,Medium,0
SCHOOL_418,electrical,0.359,49,1.62,Medium,1
SCHOOL_231,girls_toilet,0.324,50,1.62,Medium,1
SCHOOL_270,structural,0.323,50,1.61,Medium,0
SCHOOL_072,plumbing,0.461,46,1.61,Medium,1
SCHOOL_177,plumbing,0.459,46,1.6,Medium,1
SCHOOL_075,structural,0.32,50,1.6,Medium,0
SCHOOL_483,electrical,0.355,49,1.6,Medium,0
SCHOOL_364,classroom,0.4,48,1.6,Medium,0
SCHOOL_025,structural,0.321,50,1.6,Medium,0
SCHOOL_277,plumbing,0.454,46,1.59,Medium,0
SCHOOL_479,classroom,0.396,48,1.59,Medium,0
SCHOOL_469,classroom,0.398,48,1.59,Medium,1
SCHOOL_353,electrical,0.351,49,1.58,Medium,0
SCHOOL_089,classroom,0.392,48,1.57,Medium,1
SCHOOL_107,plumbing,0.445,46,1.56,Medium,0
SCHOOL_073,electrical,0.347,49,1.56,Medium,0
SCHOOL_485,structural,0.312,50,1.56,Medium,0
SCHOOL_188,electrical,0.346,49,1.56,Medium,0
SCHOOL_259,classroom,0.388,48,1.55,Medium,0
SCHOOL_448,electrical,0.342,49,1.54,Medium,0
SCHOOL_442,plumbing,0.441,46,1.54,Medium,1
SCHOOL_282,plumbing,0.439,46,1.54,Medium,0
SCHOOL_341,girls_toilet,0.309,50,1.54,Medium,0
SCHOOL_022,plumbing,0.44,46,1.54,Medium,0
SCHOOL_046,girls_toilet,0.305,50,1.53,Medium,1
SCHOOL_268,electrical,0.34,49,1.53,Medium,1
SCHOOL_028,electrical,0.341,49,1.53,Medium,0
SCHOOL_185,structural,0.306,50,1.53,Medium,0
SCHOOL_117,plumbing,0.438,46,1.53,Medium,0
SCHOOL_487,plumbing,0.437,46,1.53,Medium,0
SCHOOL_355,structural,0.307,50,1.53,Medium,0
SCHOOL_342,plumbing,0.433,47,1.52,Medium,0
SCHOOL_010,structural,0.304,50,1.52,Medium,0
SCHOOL_334,classroom,0.38,48,1.52,Medium,1
SCHOOL_484,classroom,0.381,48,1.52,Medium,1
SCHOOL_316,girls_toilet,0.302,50,1.51,Medium,0
SCHOOL_152,plumbing,0.427,47,1.5,Low,0
SCHOOL_499,classroom,0.374,48,1.5,Low,1
SCHOOL_212,plumbing,0.425,47,1.49,Low,1
SCHOOL_111,girls_toilet,0.298,51,1.49,Low,0
SCHOOL_352,plumbing,0.427,47,1.49,Low,1
SCHOOL_057,plumbing,0.425,47,1.49,Low,1
SCHOOL_202,plumbing,0.426,47,1.49,Low,0
SCHOOL_027,plumbing,0.421,47,1.48,Low,0
SCHOOL_121,girls_toilet,0.297,51,1.48,Low,1
SCHOOL_002,plumbing,0.422,47,1.48,Low,0
SCHOOL_409,classroom,0.369,48,1.48,Low,0
SCHOOL_388,electrical,0.33,50,1.48,Low,0
SCHOOL_215,structural,0.297,51,1.48,Low,0
SCHOOL_167,plumbing,0.421,47,1.47,Low,0
SCHOOL_458,electrical,0.325,50,1.46,Low,0
SCHOOL_307,plumbing,0.416,47,1.46,Low,1
SCHOOL_379,classroom,0.364,49,1.45,Low,1
SCHOOL_154,classroom,0.362,49,1.45,Low,1
SCHOOL_417,plumbing,0.412,47,1.44,Low,0
SCHOOL_371,girls_toilet,0.286,51,1.43,Low,0
SCHOOL_019,classroom,0.357,49,1.43,Low,0
SCHOOL_397,plumbing,0.407,47,1.43,Low,0
SCHOOL_237,plumbing,0.408,47,1.43,Low,0
SCHOOL_161,girls_toilet,0.285,51,1.43,Low,0
SCHOOL_170,structural,0.286,51,1.43,Low,0
SCHOOL_079,classroom,0.357,49,1.43,Low,0
SCHOOL_315,structural,0.282,51,1.41,Low,1
SCHOOL_174,classroom,0.353,49,1.41,Low,0
SCHOOL_332,plumbing,0.404,47,1.41,Low,1
SCHOOL_312,plumbing,0.401,47,1.41,Low,0
SCHOOL_069,classroom,0.353,49,1.41,Low,0
SCHOOL_439,classroom,0.351,49,1.4,Low,1
SCHOOL_104,classroom,0.351,49,1.4,Low,0
SCHOOL_160,structural,0.278,51,1.39,Low,1
SCHOOL_294,classroom,0.348,49,1.39,Low,0
SCHOOL_189,classroom,0.348,49,1.39,Low,1
SCHOOL_114,classroom,0.346,49,1.38,Low,0
SCHOOL_357,plumbing,0.392,48,1.37,Low,1
SCHOOL_102,plumbing,0.391,48,1.37,Low,0
SCHOOL_162,plumbing,0.391,48,1.37,Low,1
SCHOOL_232,plumbing,0.389,48,1.36,Low,0
SCHOOL_422,plumbing,0.39,48,1.36,Low,0
SCHOOL_227,plumbing,0.385,48,1.35,Low,0
SCHOOL_427,plumbing,0.384,48,1.34,Low,0
SCHOOL_084,classroom,0.335,49,1.34,Low,1
SCHOOL_029,classroom,0.33,50,1.32,Low,0
SCHOOL_404,classroom,0.331,50,1.32,Low,0
SCHOOL_137,plumbing,0.378,48,1.32,Low,0
SCHOOL_201,girls_toilet,0.258,52,1.29,Low,0
SCHOOL_337,plumbing,0.369,48,1.29,Low,0
SCHOOL_359,classroom,0.322,50,1.29,Low,0
SCHOOL_214,classroom,0.319,50,1.28,Low,0
SCHOOL_269,classroom,0.319,50,1.28,Low,0
SCHOOL_047,plumbing,0.363,49,1.27,Low,1
SCHOOL_308,electrical,0.282,51,1.27,Low,0
SCHOOL_199,classroom,0.316,50,1.27,Low,0
SCHOOL_012,plumbing,0.364,49,1.27,Low,0
SCHOOL_207,plumbing,0.36,49,1.26,Low,1
SCHOOL_092,plumbing,0.358,49,1.25,Low,0
SCHOOL_394,classroom,0.311,50,1.24,Low,1
SCHOOL_392,plumbing,0.351,49,1.23,Low,0
SCHOOL_402,plumbing,0.349,49,1.22,Low,0
SCHOOL_420,structural,0.243,52,1.22,Low,0
SCHOOL_372,plumbing,0.345,49,1.21,Low,0
SCHOOL_122,plumbing,0.347,49,1.21,Low,0
SCHOOL_209,classroom,0.299,51,1.2,Low,0
SCHOOL_437,plumbing,0.344,49,1.2,Low,0
SCHOOL_322,plumbing,0.341,49,1.19,Low,0
SCHOOL_292,plumbing,0.338,49,1.18,Low,0
