school_id,district,block,school_type,girls_school,num_students,building_age,material_type,weather_zone,category,week_number,condition_score,issue_flag,water_leak,wiring_exposed,crack_width_mm,toilet_functional_ratio,power_outage_hours_weekly,roof_leak_flag,photo_uploaded,days_to_failure,failure_within_30_days,failure_within_60_days,priority_score,repair_done,days_since_repair,contractor_delay_days,sla_breach
1975,Surat,Block C,Primary,0,609,37,Brick,Heavy Rain,electrical,11,4,1,0,1,19.81,0.95,22,1,1,-8.774217688995629,1,1,56.09,0,,23,1
2279,Kutch,Block C,Secondary,0,1063,18,Temporary,Dry,electrical,8,2,1,0,1,19.3,0.79,37,0,1,48.576430140839534,0,1,10.63,0,,1,0
1536,Kutch,Block A,Primary,0,1463,24,RCC,Tribal,electrical,3,3,0,1,1,14.07,0.5,29,0,1,51.679465401563405,0,1,14.63,0,,13,1
1656,Surat,Block B,Primary,0,427,15,RCC,Dry,structural,3,2,0,0,1,5.56,0.48,33,1,1,87.689856350751,0,0,4.27,1,13.0,21,1
2157,Kutch,Block C,Secondary,0,705,22,Mixed,Coastal,plumbing,3,3,0,0,1,11.92,0.08,5,1,1,38.292744286321735,0,1,7.05,0,,17,1
1388,Dahod,Block C,Secondary,0,61,15,Mixed,Heavy Rain,plumbing,2,3,0,0,1,16.95,0.74,39,0,0,24.510434428543167,1,1,50.61,0,,25,1
1329,Kutch,Block B,Secondary,1,1487,19,Mixed,Heavy Rain,plumbing,1,1,0,0,0,6.19,0.42,5,0,1,59.20968202614381,0,1,34.87,0,,14,1
1648,Ahmedabad,Block A,Primary,0,1383,51,Brick,Dry,structural,1,4,0,0,0,4.32,0.66,15,1,1,25.588417090523073,1,1,63.83,0,,11,1
2183,Dahod,Block A,Secondary,1,1039,50,Temporary,Tribal,structural,9,3,1,1,0,19.58,0.44,1,1,1,0.01601207186237552,1,1,80.39,0,,10,1
1745,Dahod,Block C,Primary,0,1414,11,RCC,Tribal,plumbing,8,4,1,0,1,5.62,0.68,33,1,0,52.674970463043095,0,1,14.14,1,13.0,2,0
1013,Surat,Block A,Secondary,0,1370,14,Temporary,Heavy Rain,electrical,4,3,1,0,0,4.75,0.44,12,0,1,80.26932260675065,0,0,13.7,0,,8,1
1400,Ahmedabad,Block A,Secondary,0,1186,46,Temporary,Tribal,electrical,6,1,0,1,0,2.44,0.29,5,1,1,77.95544595749399,0,0,11.86,1,58.0,23,1
2826,Kutch,Block C,Primary,1,975,11,Brick,Heavy Rain,plumbing,6,3,0,1,1,2.85,0.91,11,0,1,39.33696348790458,0,1,29.75,0,,26,1
2116,Dahod,Block B,Secondary,0,271,27,RCC,Tribal,plumbing,3,3,1,0,0,10.09,0.62,3,0,1,60.89224834370918,0,0,2.71,0,,11,1
2105,Kutch,Block C,Secondary,0,583,41,Temporary,Tribal,plumbing,2,1,1,0,1,9.26,0.04,17,0,0,68.97788225104215,0,0,5.83,1,26.0,26,1
2821,Surat,Block A,Primary,0,289,3,RCC,Heavy Rain,structural,12,2,0,0,0,7.36,0.11,29,1,0,105.40794445650015,0,0,2.89,0,,15,1
1420,Kutch,Block C,Secondary,1,1165,21,Mixed,Coastal,plumbing,11,5,0,1,1,15.13,0.99,1,0,1,-12.759958090249775,1,1,81.65,0,,16,1
1900,Ahmedabad,Block A,Secondary,0,1489,29,Temporary,Heavy Rain,plumbing,7,1,0,0,1,17.42,0.02,14,1,0,66.12003831791021,0,0,14.89,0,,17,1
2133,Kutch,Block B,Secondary,0,1371,14,RCC,Dry,structural,2,5,0,1,0,0.3,0.43,23,0,1,44.86337283490656,0,1,13.71,1,12.0,22,1
1823,Surat,Block C,Primary,0,506,41,Mixed,Tribal,plumbing,3,2,1,1,1,0.71,0.29,25,1,1,64.78014048906157,0,0,5.06,0,,18,1
2517,Surat,Block A,Secondary,0,91,11,Brick,Tribal,plumbing,11,1,0,1,1,11.56,0.81,35,1,1,80.8432855485221,0,0,0.91,0,,19,1
2423,Kutch,Block C,Primary,0,967,36,Mixed,Coastal,structural,6,2,0,0,1,0.73,0.26,1,1,1,61.515353438490855,0,0,9.67,1,33.0,7,0
2217,Ahmedabad,Block B,Primary,0,982,44,Mixed,Heavy Rain,structural,7,4,0,0,1,19.38,0.6,31,0,1,-3.115533497368764,1,1,59.82,1,58.0,25,1
2877,Dahod,Block B,Primary,1,256,4,Mixed,Coastal,plumbing,10,3,1,0,1,1.72,0.07,12,1,1,74.54326002947062,0,0,22.56,1,48.0,25,1
2919,Ahmedabad,Block A,Primary,0,1047,20,Temporary,Heavy Rain,structural,7,2,0,0,0,16.37,0.75,39,0,1,60.59172485148009,0,0,10.47,0,,24,1
1503,Surat,Block B,Primary,0,99,40,RCC,Dry,structural,9,1,1,0,0,9.94,0.78,4,0,1,71.4789039391249,0,0,0.99,0,,11,1
1422,Dahod,Block A,Secondary,0,778,40,Mixed,Heavy Rain,electrical,7,5,0,1,1,17.36,0.9,12,1,0,-2.1768829917564227,1,1,57.78,0,,27,1
1080,Surat,Block C,Secondary,0,1314,49,RCC,Tribal,plumbing,10,4,0,0,1,13.74,0.68,0,0,1,18.20733545989745,1,1,63.14,1,38.0,8,1
2168,Dahod,Block B,Secondary,0,1306,13,Temporary,Heavy Rain,electrical,1,2,0,1,0,4.52,0.39,15,1,1,114.23980160922886,0,0,13.06,1,30.0,10,1
1036,Kutch,Block B,Secondary,1,172,35,Temporary,Coastal,structural,2,1,0,0,0,16.58,0.53,29,1,1,60.444180918517034,0,0,21.72,0,,20,1
2316,Kutch,Block B,Secondary,0,836,9,Temporary,Heavy Rain,structural,4,3,0,0,1,18.64,0.39,32,0,0,39.40339286145688,0,1,8.36,1,38.0,24,1
2086,Surat,Block C,Primary,1,334,29,Temporary,Tribal,electrical,12,4,1,1,0,18.65,0.94,18,1,1,21.7592947723452,1,1,73.34,0,,17,1
2070,Dahod,Block A,Secondary,1,967,54,Temporary,Coastal,plumbing,6,3,0,1,0,18.45,0.66,23,0,1,17.73681474269343,1,1,79.67,1,14.0,7,0
2119,Dahod,Block C,Secondary,1,1337,40,Temporary,Dry,plumbing,11,5,1,0,0,17.92,0.86,5,1,1,-9.287535010259164,1,1,83.37,0,,1,0
2564,Ahmedabad,Block B,Secondary,1,444,27,RCC,Tribal,structural,12,5,1,0,0,4.44,0.25,23,1,0,-0.7968104407350651,1,1,74.44,0,,2,0
2134,Kutch,Block C,Primary,0,133,25,Temporary,Coastal,electrical,3,3,1,1,1,1.82,0.33,10,1,1,40.908814608492236,0,1,1.33,0,,23,1
2595,Surat,Block C,Secondary,1,444,23,Temporary,Heavy Rain,electrical,1,4,0,0,1,7.67,0.02,18,1,1,54.843621517049456,0,1,24.44,0,,14,1
1757,Kutch,Block A,Primary,1,1418,28,Mixed,Tribal,structural,7,4,1,0,0,9.98,0.49,37,1,0,-20.437349217919085,1,1,84.18,0,,23,1
2920,Kutch,Block A,Primary,0,1128,49,Temporary,Dry,structural,9,4,0,1,1,3.97,0.76,12,1,1,39.77389598429542,0,1,11.28,0,,22,1
2550,Surat,Block C,Primary,0,1277,22,Temporary,Tribal,electrical,12,1,0,0,0,10.33,0.41,23,1,1,77.86556651168516,0,0,12.77,1,8.0,7,0
